城市,日期,累计确诊,累计治愈,累计死亡
七台河,2020-01-26,1,0,0
七台河,2020-01-27,2,0,0
七台河,2020-01-28,2,0,0
七台河,2020-01-29,2,0,0
七台河,2020-01-30,3,0,0
七台河,2020-01-31,5,0,0
七台河,2020-02-01,6,0,0
七台河,2020-02-02,7,0,0
七台河,2020-02-03,8,0,0
七台河,2020-02-04,9,0,0
七台河,2020-02-05,9,0,0
七台河,2020-02-06,10,0,0
七台河,2020-02-07,11,0,0
七台河,2020-02-08,13,0,0
七台河,2020-02-09,14,0,0
七台河,2020-02-10,15,0,0
七台河,2020-02-11,15,0,0
七台河,2020-02-12,16,0,0
七台河,2020-02-13,16,1,0
七台河,2020-02-14,16,1,0
七台河,2020-02-15,16,4,0
七台河,2020-02-16,16,4,0
七台河,2020-02-17,17,4,0
七台河,2020-02-18,17,6,0
七台河,2020-02-19,17,6,0
七台河,2020-02-20,17,6,0
七台河,2020-02-21,17,6,0
七台河,2020-02-22,17,9,0
七台河,2020-02-23,17,10,0
七台河,2020-02-24,17,10,0
七台河,2020-02-25,17,11,0
七台河,2020-02-26,17,12,0
七台河,2020-02-27,17,13,0
七台河,2020-02-28,17,13,0
七台河,2020-02-29,17,13,0
七台河,2020-03-01,17,13,0
七台河,2020-03-02,17,13,0
七台河,2020-03-03,17,13,0
七台河,2020-03-04,17,14,0
七台河,2020-03-05,17,15,0
七台河,2020-03-06,17,16,0
七台河,2020-03-07,17,16,0
七台河,2020-03-08,17,16,0
七台河,2020-03-09,17,16,0
七台河,2020-03-10,17,16,0
七台河,2020-03-11,17,16,0
七台河,2020-03-12,17,16,0
七台河,2020-03-13,17,16,0
七台河,2020-03-14,17,17,0
七台河,2020-03-15,17,17,0
七台河,2020-03-16,17,17,0
七台河,2020-03-17,17,17,0
七台河,2020-03-18,17,17,0
七台河,2020-03-19,17,17,0
七台河,2020-03-20,17,17,0
七台河,2020-03-21,17,17,0
七台河,2020-03-22,17,17,0
七台河,2020-03-23,17,17,0
七台河,2020-03-24,17,17,0
七台河,2020-03-25,17,17,0
七台河,2020-03-26,17,17,0
七台河,2020-03-27,17,17,0
七台河,2020-03-28,17,17,0
七台河,2020-03-29,17,17,0
七台河,2020-03-30,17,17,0
七台河,2020-03-31,17,17,0
七台河,2020-04-01,17,17,0
七台河,2020-04-02,17,17,0
七台河,2020-04-03,17,17,0
七台河,2020-04-04,17,17,0
七台河,2020-04-05,17,17,0
七台河,2020-04-06,17,17,0
七台河,2020-04-07,17,17,0
七台河,2020-04-08,17,17,0
七台河,2020-04-09,17,17,0
七台河,2020-04-10,17,17,0
七台河,2020-04-11,17,17,0
七台河,2020-04-12,17,17,0
七台河,2020-04-13,17,17,0
七台河,2020-04-14,17,17,0
七台河,2020-04-15,17,17,0
七台河,2020-04-16,17,17,0
七台河,2020-04-17,17,17,0
七台河,2020-04-18,17,17,0
七台河,2020-04-19,17,17,0
七台河,2020-04-20,17,17,0
七台河,2020-04-21,17,17,0
七台河,2020-04-22,17,17,0
七台河,2020-04-23,17,17,0
七台河,2020-04-24,17,17,0
七台河,2020-04-25,17,17,0
七台河,2020-04-26,17,17,0
七台河,2020-04-27,17,17,0
七台河,2020-04-28,17,17,0
七台河,2020-04-29,17,17,0
七台河,2020-04-30,17,17,0
七台河,2020-05-01,17,17,0
七台河,2020-05-02,17,17,0
七台河,2020-05-03,17,17,0
七台河,2020-05-04,17,17,0
七台河,2020-05-05,17,17,0
七台河,2020-05-06,17,17,0
七台河,2020-05-07,17,17,0
七台河,2020-05-08,17,17,0
七台河,2020-05-09,17,17,0
七台河,2020-05-10,17,17,0
七台河,2020-05-11,17,17,0
七台河,2020-05-12,17,17,0
七台河,2020-05-13,17,17,0
七台河,2020-05-14,17,17,0
七台河,2020-05-15,17,17,0
七台河,2020-05-16,17,17,0
七台河,2020-05-17,17,17,0
七台河,2020-05-18,17,17,0
七台河,2020-05-19,17,17,0
七台河,2020-05-20,17,17,0
七台河,2020-05-21,17,17,0
七台河,2020-05-22,17,17,0
七台河,2020-05-23,17,17,0
七台河,2020-05-24,17,17,0
七台河,2020-05-25,17,17,0
七台河,2020-05-26,17,17,0
七台河,2020-05-27,17,17,0
七台河,2020-05-28,17,17,0
七台河,2020-05-29,17,17,0
七台河,2020-05-30,17,17,0
七台河,2020-05-31,17,17,0
七台河,2020-06-01,17,17,0
七台河,2020-06-02,17,17,0
七台河,2020-06-03,17,17,0
七台河,2020-06-04,17,17,0
七台河,2020-06-05,17,17,0
七台河,2020-06-06,17,17,0
七台河,2020-06-07,17,17,0
七台河,2020-06-08,17,17,0
七台河,2020-06-09,17,17,0
七台河,2020-06-10,17,17,0
七台河,2020-06-11,17,17,0
七台河,2020-06-12,17,17,0
七台河,2020-06-13,17,17,0
七台河,2020-06-14,17,17,0
七台河,2020-06-15,17,17,0
七台河,2020-06-16,17,17,0
七台河,2020-06-17,17,17,0
七台河,2020-06-18,17,17,0
七台河,2020-06-19,17,17,0
七台河,2020-06-20,17,17,0
七台河,2020-06-21,17,17,0
七台河,2020-06-22,17,17,0
七台河,2020-06-23,17,17,0
七台河,2020-06-24,17,17,0
七台河,2020-06-25,17,17,0
七台河,2020-06-26,17,17,0
七台河,2020-06-27,17,17,0
七台河,2020-06-28,17,17,0
七台河,2020-06-29,17,17,0
七台河,2020-06-30,17,17,0
万宁,2020-01-22,1,0,0
万宁,2020-01-23,2,0,0
万宁,2020-01-24,5,0,0
万宁,2020-01-25,5,0,0
万宁,2020-01-26,7,0,0
万宁,2020-01-27,7,0,0
万宁,2020-01-28,8,0,0
万宁,2020-01-29,8,0,0
万宁,2020-01-30,8,0,0
万宁,2020-01-31,8,0,0
万宁,2020-02-01,8,0,0
万宁,2020-02-02,8,0,0
万宁,2020-02-03,11,0,0
万宁,2020-02-04,11,0,0
万宁,2020-02-05,11,0,0
