省份,日期,新增确诊人数,新增治愈人数,新增死亡人数,累计确诊人数,累计治愈人数,累计死亡人数
上海,2020-01-20,1,0,0,381,348,0
上海,2020-01-21,0,0,0,381,348,0
上海,2020-01-22,0,0,0,381,348,0
上海,2020-01-23,0,0,0,381,348,0
上海,2020-01-24,0,1,0,381,349,0
上海,2020-01-25,1,0,0,382,349,0
上海,2020-01-26,0,0,1,382,349,1
上海,2020-01-27,64,2,0,6474,5963,10
上海,2020-01-28,14,1,0,6488,5964,10
上海,2020-01-29,20,1,0,8218,7551,13
上海,2020-01-30,27,0,0,8803,8067,14
上海,2020-01-31,25,0,0,9375,8572,15
上海,2020-02-01,24,0,0,9924,9056,16
上海,2020-02-02,16,0,0,9940,9056,16
上海,2020-02-03,15,0,0,9955,9056,16
上海,2020-02-04,25,0,0,9980,9056,16
上海,2020-02-05,21,10,0,10001,9066,16
上海,2020-02-06,15,10,0,10016,9076,16
上海,2020-02-07,12,5,0,10028,9081,16
上海,2020-02-08,11,11,0,10039,9092,16
上海,2020-02-09,3,3,0,10042,9095,16
上海,2020-02-10,7,4,0,10049,9099,16
上海,2020-02-11,6,5,0,10055,9104,16
上海,2020-02-12,7,4,0,10062,9108,16
上海,2020-02-13,5,5,0,10067,9113,16
上海,2020-02-14,8,28,0,10075,9141,16
上海,2020-02-15,2,34,0,10077,9175,16
上海,2020-02-16,3,16,0,10080,9191,16
上海,2020-02-17,2,21,0,10082,9212,16
上海,2020-02-18,0,16,0,10082,9228,16
上海,2020-02-19,0,9,0,10082,9237,16
上海,2020-02-20,1,13,0,10083,9250,16
上海,2020-02-21,0,12,0,10083,9262,16
上海,2020-02-22,1,16,0,10084,9278,16
上海,2020-02-23,0,22,0,10084,9300,16
上海,2020-02-24,0,12,0,10084,9312,16
上海,2020-02-25,1,7,0,10085,9319,16
上海,2020-02-26,1,4,0,10086,9323,16
上海,2020-02-27,0,4,0,10086,9327,16
上海,2020-02-28,0,3,0,10086,9330,16
上海,2020-02-29,0,8,0,10086,9338,16
上海,2020-03-01,0,3,0,10086,9341,16
上海,2020-03-02,1,2,0,10087,9343,16
上海,2020-03-03,0,2,0,10087,9345,16
上海,2020-03-04,0,4,0,10087,9349,16
上海,2020-03-05,1,5,0,10088,9354,16
上海,2020-03-06,3,3,0,10091,9357,16
上海,2020-03-07,0,7,0,10091,9364,16
上海,2020-03-08,0,1,0,10091,9365,16
上海,2020-03-09,0,1,0,10091,9366,16
上海,2020-03-10,2,4,0,10093,9370,16
上海,2020-03-11,0,1,0,10093,9371,16
上海,2020-03-12,2,1,0,10095,9372,16
上海,2020-03-13,4,3,0,10099,9375,16
上海,2020-03-14,3,0,0,10102,9375,16
上海,2020-03-15,2,0,0,10104,9375,16
上海,2020-03-16,3,0,0,10107,9375,16
上海,2020-03-17,3,0,0,10110,9375,16
上海,2020-03-18,2,1,0,10112,9376,16
上海,2020-03-19,8,0,0,10120,9376,16
上海,2020-03-20,9,0,0,10129,9376,16
上海,2020-03-21,14,0,0,10143,9376,16
上海,2020-03-22,10,0,0,10153,9376,16
上海,2020-03-23,10,1,0,10163,9377,16
上海,2020-03-24,19,1,0,10182,9378,16
上海,2020-03-25,18,0,0,10200,9378,16
上海,2020-03-26,17,1,0,10217,9379,16
上海,2020-03-27,17,3,0,10234,9382,16
上海,2020-03-28,7,0,0,10241,9382,16
上海,2020-03-29,6,0,0,10247,9382,16
上海,2020-03-30,11,4,0,10258,9386,16
上海,2020-03-31,7,3,0,10265,9389,16
上海,2020-04-01,6,2,0,10271,9391,16
上海,2020-04-02,4,0,0,10275,9391,16
上海,2020-04-03,3,5,0,10278,9396,16
上海,2020-04-04,2,8,0,10280,9404,16
上海,2020-04-05,5,26,0,10285,9430,16
上海,2020-04-06,2,6,0,10287,9436,16
上海,2020-04-07,5,17,0,10292,9453,16
上海,2020-04-08,9,11,0,10301,9464,16
上海,2020-04-09,3,5,0,10304,9469,16
上海,2020-04-10,0,13,0,10304,9482,16
上海,2020-04-11,52,3,0,10356,9485,16
上海,2020-04-12,11,8,0,10367,9493,16
上海,2020-04-13,0,12,0,10367,9505,16
上海,2020-04-14,4,10,0,10371,9515,16
上海,2020-04-15,6,15,0,10377,9530,16
上海,2020-04-16,0,4,0,10377,9534,16
上海,2020-04-17,0,22,0,10377,9556,16
上海,2020-04-18,7,4,0,10384,9560,16
上海,2020-04-19,3,5,0,10387,9565,16
上海,2020-04-20,0,9,0,10387,9574,16
上海,2020-04-21,1,0,0,10388,9574,16
上海,2020-04-22,1,2,0,10389,9576,16
上海,2020-04-23,1,1,0,10390,9577,16
上海,2020-04-24,0,14,0,10390,9591,16
上海,2020-04-25,1,11,0,10391,9602,16
上海,2020-04-26,0,10,0,10391,9612,16
上海,2020-04-27,2,13,0,10393,9625,16
上海,2020-04-28,1,3,0,10394,9628,16
上海,2020-04-29,2,13,0,10396,9641,16
上海,2020-04-30,5,2,0,10401,9643,16
上海,2020-05-01,0,13,0,10401,9656,16
上海,2020-05-02,1,0,0,10402,9656,16
上海,2020-05-03,2,2,0,10404,9658,16
上海,2020-05-04,1,4,0,10405,9662,16
上海,2020-05-05,0,1,0,10405,9663,16
上海,2020-05-06,1,0,0,10406,9663,16
上海,2020-05-07,0,3,0,10406,9666,16
上海,2020-05-08,0,0,0,10406,9666,16
上海,2020-05-09,2,3,0,10408,9669,16
上海,2020-05-10,0,1,0,10408,9670,16
上海,2020-05-11,0,0,0,10408,9670,16
上海,2020-05-12,1,4,0,10409,9674,16
上海,2020-05-13,0,2,0,10409,9676,16
上海,2020-05-14,0,5,0,10409,9681,16
上海,2020-05-15,5,2,0,10414,9683,16
上海,2020-05-16,0,1,0,10414,9684,16
上海,2020-05-17,1,0,0,10415,9684,16
上海,2020-05-18,0,0,0,10415,9684,16
上海,2020-05-19,0,1,0,10415,9685,16
上海,2020-05-20,1,3,0,10416,9688,16
上海,2020-05-21,0,1,0,10416,9689,16
上海,2020-05-22,0,1,0,10416,9690,16
上海,2020-05-23,1,0,0,10417,9690,16
上海,2020-05-24,0,1,0,10417,9691,16
上海,2020-05-25,1,4,0,10418,9695,16
上海,2020-05-26,1,1,0,10419,9696,16
上海,2020-05-27,1,2,0,10420,9698,16
上海,2020-05-28,0,0,0,10420,9698,16
上海,2020-05-29,1,2,0,10421,9700,16
上海,2020-05-30,0,0,0,10421,9700,16
上海,2020-05-31,0,0,0,10421,9700,16
上海,2020-06-01,1,3,0,10422,9703,16
上海,2020-06-02,0,1,0,10422,9704,16
上海,2020-06-03,0,0,0,10422,9704,16
上海,2020-06-04,4,1,0,10426,9705,16
上海,2020-06-05,0,1,0,10426,9706,16
上海,2020-06-06,0,1,0,10426,9707,16
上海,2020-06-07,1,0,0,10427,9707,16
上海,2020-06-08,0,0,0,10427,9707,16
上海,2020-06-09,0,1,0,10427,9708,16
上海,2020-06-10,6,0,0,10433,9708,16
上海,2020-06-11,5,1,0,10438,9709,16
上海,2020-06-12,1,0,0,10439,9709,16
上海,2020-06-13,1,0,0,10440,9709,16
上海,2020-06-14,1,1,0,10441,9710,16
上海,2020-06-15,3,0,0,10444,9710,16
上海,2020-06-16,0,0,0,10444,9710,16
上海,2020-06-17,2,1,0,10446,9711,16
上海,2020-06-18,0,0,0,10446,9711,16
上海,2020-06-19,1,0,0,10447,9711,16
上海,2020-06-20,0,0,0,10447,9711,16
上海,2020-06-21,3,0,0,10450,9711,16
上海,2020-06-22,0,1,0,10450,9712,16
上海,2020-06-23,2,0,0,10452,9712,16
上海,2020-06-24,0,1,0,10452,9713,16
上海,2020-06-25,2,2,0,10454,9715,16
上海,2020-06-26,1,2,0,10455,9717,16
上海,2020-06-27,1,1,0,10456,9718,16
上海,2020-06-28,1,0,0,10457,9718,16
上海,2020-06-29,4,0,0,10461,9718,16
上海,2020-06-30,0,0,0,10461,9718,16
云南,2020-01-21,1,0,0,49,48,0
云南,2020-01-22,0,0,0,49,48,0
