,省份,日期,新增确诊人数,新增治愈人数,新增死亡人数,累计确诊人数,累计治愈人数,累计死亡人数
0,广东,2020-02-15,22,50,0,22052,17405,68
1,广东,2020-03-15,4,5,0,22352,18505,75
2,广东,2020-04-15,5,0,0,22562,18605,75
3,广东,2020-05-15,0,0,0,22580,18605,75
4,广东,2020-06-15,3,0,0,22619,18607,75
5,河北,2020-02-15,9,14,0,2381,2100,31
6,河北,2020-03-15,0,0,0,2399,2310,34
7,河北,2020-04-15,1,1,0,2646,2540,38
8,河北,2020-05-15,0,0,0,2646,2545,38
9,河北,2020-06-15,4,0,0,2650,2546,38
10,湖北,2020-01-15,0,5,1,7321,7059,235
11,湖北,2020-02-15,1839,849,139,631850,542649,40460
12,湖北,2020-03-15,4,816,14,643451,592036,41963
13,湖北,2020-04-15,0,33,0,643456,600266,42086
14,湖北,2020-05-15,0,0,0,643787,600405,43376
15,湖北,2020-06-15,0,0,0,643788,600412,43376
