省份,日期,住院人数
上海,2020-01-20,381
上海,2020-01-21,381
上海,2020-01-22,381
上海,2020-01-23,381
上海,2020-01-24,380
上海,2020-01-25,382
上海,2020-01-26,381
上海,2020-01-27,6472
上海,2020-01-28,6487
上海,2020-01-29,8217
上海,2020-01-30,8803
上海,2020-01-31,9375
上海,2020-02-01,9924
上海,2020-02-02,9940
上海,2020-02-03,9955
上海,2020-02-04,9980
上海,2020-02-05,9991
上海,2020-02-06,10006
上海,2020-02-07,10023
上海,2020-02-08,10028
上海,2020-02-09,10039
上海,2020-02-10,10045
上海,2020-02-11,10050
上海,2020-02-12,10058
上海,2020-02-13,10062
上海,2020-02-14,10047
上海,2020-02-15,10043
上海,2020-02-16,10064
上海,2020-02-17,10061
上海,2020-02-18,10066
上海,2020-02-19,10073
上海,2020-02-20,10070
上海,2020-02-21,10071
上海,2020-02-22,10068
上海,2020-02-23,10062
上海,2020-02-24,10072
上海,2020-02-25,10078
上海,2020-02-26,10082
上海,2020-02-27,10082
上海,2020-02-28,10083
上海,2020-02-29,10078
上海,2020-03-01,10083
上海,2020-03-02,10085
上海,2020-03-03,10085
上海,2020-03-04,10083
上海,2020-03-05,10083
上海,2020-03-06,10088
上海,2020-03-07,10084
上海,2020-03-08,10090
上海,2020-03-09,10090
上海,2020-03-10,10089
上海,2020-03-11,10092
上海,2020-03-12,10094
上海,2020-03-13,10096
上海,2020-03-14,10102
上海,2020-03-15,10104
上海,2020-03-16,10107
上海,2020-03-17,10110
上海,2020-03-18,10111
上海,2020-03-19,10120
上海,2020-03-20,10129
上海,2020-03-21,10143
上海,2020-03-22,10153
上海,2020-03-23,10162
上海,2020-03-24,10181
上海,2020-03-25,10200
上海,2020-03-26,10216
上海,2020-03-27,10231
上海,2020-03-28,10241
上海,2020-03-29,10247
上海,2020-03-30,10254
上海,2020-03-31,10262
上海,2020-04-01,10269
上海,2020-04-02,10275
上海,2020-04-03,10273
上海,2020-04-04,10272
上海,2020-04-05,10259
上海,2020-04-06,10281
上海,2020-04-07,10275
上海,2020-04-08,10290
上海,2020-04-09,10299
上海,2020-04-10,10291
上海,2020-04-11,10353
上海,2020-04-12,10359
上海,2020-04-13,10355
上海,2020-04-14,10361
上海,2020-04-15,10362
上海,2020-04-16,10373
上海,2020-04-17,10355
上海,2020-04-18,10380
上海,2020-04-19,10382
上海,2020-04-20,10378
上海,2020-04-21,10388
上海,2020-04-22,10387
上海,2020-04-23,10389
上海,2020-04-24,10376
上海,2020-04-25,10380
上海,2020-04-26,10381
上海,2020-04-27,10380
上海,2020-04-28,10391
上海,2020-04-29,10383
上海,2020-04-30,10399
上海,2020-05-01,10388
上海,2020-05-02,10402
上海,2020-05-03,10402
上海,2020-05-04,10401
上海,2020-05-05,10404
上海,2020-05-06,10406
上海,2020-05-07,10403
上海,2020-05-08,10406
上海,2020-05-09,10405
上海,2020-05-10,10407
上海,2020-05-11,10408
上海,2020-05-12,10405
上海,2020-05-13,10407
上海,2020-05-14,10404
上海,2020-05-15,10412
上海,2020-05-16,10413
上海,2020-05-17,10415
上海,2020-05-18,10415
上海,2020-05-19,10414
上海,2020-05-20,10413
上海,2020-05-21,10415
上海,2020-05-22,10415
上海,2020-05-23,10417
上海,2020-05-24,10416
上海,2020-05-25,10414
上海,2020-05-26,10418
上海,2020-05-27,10418
上海,2020-05-28,10420
上海,2020-05-29,10419
上海,2020-05-30,10421
上海,2020-05-31,10421
上海,2020-06-01,10419
上海,2020-06-02,10421
上海,2020-06-03,10422
上海,2020-06-04,10425
上海,2020-06-05,10425
上海,2020-06-06,10425
上海,2020-06-07,10427
上海,2020-06-08,10427
上海,2020-06-09,10426
上海,2020-06-10,10433
上海,2020-06-11,10437
上海,2020-06-12,10439
上海,2020-06-13,10440
上海,2020-06-14,10440
上海,2020-06-15,10444
上海,2020-06-16,10444
上海,2020-06-17,10445
上海,2020-06-18,10446
上海,2020-06-19,10447
上海,2020-06-20,10447
上海,2020-06-21,10450
上海,2020-06-22,10449
上海,2020-06-23,10452
上海,2020-06-24,10451
上海,2020-06-25,10452
上海,2020-06-26,10453
上海,2020-06-27,10455
上海,2020-06-28,10457
上海,2020-06-29,10461
上海,2020-06-30,10461
云南,2020-01-21,49
云南,2020-01-22,49
云南,2020-01-23,50
云南,2020-01-24,224
云南,2020-01-25,696
云南,2020-01-26,865
云南,2020-01-27,890
云南,2020-01-28,1023
云南,2020-01-29,1042
云南,2020-01-30,1052
云南,2020-01-31,1062
云南,2020-02-01,1070
云南,2020-02-02,1223
云南,2020-02-03,1276
云南,2020-02-04,1283
云南,2020-02-05,1289
云南,2020-02-06,1294
云南,2020-02-07,1294
云南,2020-02-08,1296
云南,2020-02-09,1301
云南,2020-02-10,1309
云南,2020-02-11,1314
云南,2020-02-12,1313
云南,2020-02-13,1319
云南,2020-02-14,1321
云南,2020-02-15,1323
云南,2020-02-16,1332
云南,2020-02-17,1328
云南,2020-02-18,1323
云南,2020-02-19,1329
云南,2020-02-20,1315
云南,2020-02-21,1318
云南,2020-02-22,1324
云南,2020-02-23,1327
云南,2020-02-24,1326
云南,2020-02-25,1330
云南,2020-02-26,1320
云南,2020-02-27,1329
云南,2020-02-28,1329
云南,2020-02-29,1334
云南,2020-03-01,1329
云南,2020-03-02,1330
云南,2020-03-03,1334
云南,2020-03-04,1335
云南,2020-03-05,1335
云南,2020-03-06,1334
云南,2020-03-07,1335
云南,2020-03-08,1335
云南,2020-03-09,1335
云南,2020-03-10,1335
云南,2020-03-11,1335
云南,2020-03-12,1335
云南,2020-03-13,1335
云南,2020-03-14,1333
云南,2020-03-15,1344
云南,2020-03-16,1345
云南,2020-03-17,1345
云南,2020-03-18,1345
云南,2020-03-19,1345
云南,2020-03-20,1345
云南,2020-03-21,1345
云南,2020-03-22,1345
云南,2020-03-23,1345
云南,2020-03-24,1345
云南,2020-03-25,1347
云南,2020-03-26,1349
云南,2020-03-27,1349
云南,2020-03-28,1349
云南,2020-03-29,1349
云南,2020-03-30,1350
云南,2020-03-31,1351
云南,2020-04-01,1352
云南,2020-04-02,1353
云南,2020-04-03,1353
云南,2020-04-04,1353
云南,2020-04-05,1353
云南,2020-04-06,1352
云南,2020-04-07,1353
云南,2020-04-08,1353
云南,2020-04-09,1353
云南,2020-04-10,1352
云南,2020-04-11,1353
云南,2020-04-12,1353
云南,2020-04-13,1352
云南,2020-04-14,1352
云南,2020-04-15,1353
云南,2020-04-16,1352
云南,2020-04-17,1353
云南,2020-04-18,1352
云南,2020-04-19,1353
云南,2020-04-20,1353
云南,2020-04-21,1353
云南,2020-04-22,1353
云南,2020-04-23,1351
云南,2020-04-24,1354
云南,2020-04-25,1353
云南,2020-04-26,1354
云南,2020-04-27,1354
云南,2020-04-28,1354
云南,2020-04-29,1354
云南,2020-04-30,1354
云南,2020-05-01,1354
云南,2020-05-02,1354
云南,2020-05-03,1354
云南,2020-05-04,1354
云南,2020-05-05,1354
云南,2020-05-06,1354
云南,2020-05-07,1353
云南,2020-05-08,1354
云南,2020-05-09,1353
云南,2020-05-10,1354
云南,2020-05-11,1354
云南,2020-05-12,1354
云南,2020-05-13,1354
云南,2020-05-14,1354
云南,2020-05-15,1354
云南,2020-05-16,1354
云南,2020-05-17,1354
云南,2020-05-18,1354
