,省份,日期,新增确诊人数,新增治愈人数,新增死亡人数,累计确诊人数,累计治愈人数,累计死亡人数,住院人数
0,上海,2020-01-20,1,0,0,381,348,0,381
1,上海,2020-02-20,1,13,0,10083,9250,16,10070
2,上海,2020-03-20,9,0,0,10129,9376,16,10129
3,上海,2020-04-20,0,9,0,10387,9574,16,10378
4,上海,2020-05-20,1,3,0,10416,9688,16,10413
5,上海,2020-06-20,0,0,0,10447,9711,16,10447
6,广东,2020-01-20,13,0,0,4837,3928,14,4837
7,广东,2020-02-20,1,45,0,22069,17634,71,22024
8,广东,2020-03-20,7,3,0,22390,18515,75,22387
9,广东,2020-04-20,1,0,0,22573,18605,75,22573
10,广东,2020-05-20,1,0,0,22582,18605,75,22582
11,广东,2020-06-20,0,0,0,22625,18607,75,22625
12,湖北,2020-01-20,72,0,2,71763,66937,4587,71761
13,湖北,2020-02-20,405,1452,115,638548,548813,41010,636981
14,湖北,2020-03-20,0,561,7,643453,595848,42003,642885
15,湖北,2020-04-20,0,3,0,643781,600303,43376,643778
16,湖北,2020-05-20,0,0,0,643788,600405,43376,643788
17,湖北,2020-06-20,0,0,0,643788,600412,43376,643788
